"37.600","0.061","33.781017","13.337803","0.987505","1078.727539","61374.757813","46749.585938","-0.104508","-1.567304","0.275119","-8.146523","-0.379728","-39.876217","0.000000","6516.566895","179.834518","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.426172","0.000000","41.183857","39.969822","0.000000","0.865516","0.000000","0.000000","0.000000","84.249054","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4561.229980","1439.251099","4.000000","24.000000","-273.000000","-273.000000","11.050547","0.000000","56.374390","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.700001","12.000000","-0.557020","-0.219239","-2.601023","115.714966","-24.590525","363.000000","2.030000","0.370000","730.000000","40.845049949968","-96.771140186786","363.44"
"37.700","0.062","33.781017","13.340874","-0.082194","1078.727539","60281.257813","45031.089844","0.629603","-0.250791","-0.037172","-14.632874","-0.516339","-49.484680","0.000000","6513.477539","178.048111","0.000000","0.000000","0.000000","0.000000","2.961776","0.000000","-7.584619","0.000000","42.427788","49.315769","0.000000","0.877600","0.000000","0.000000","0.000000","84.249054","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4698.533691","1445.248901","4.000000","24.000000","-273.000000","-273.000000","12.151956","0.000000","56.352001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.199970","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.700001","12.000000","-0.713164","-0.178450","-2.681237","115.268066","-32.772362","363.000000","2.030000","0.350000","711.000000","40.845045621374","-96.771127055595","363.43"
"37.800","0.063","33.781017","13.343944","-0.223335","1078.727539","62531.019531","44999.726563","-0.591538","-1.418404","-0.544735","-15.853556","-0.083034","-54.681664","0.000000","6833.343262","177.371506","0.000000","0.000000","0.000000","0.000000","10.862898","0.000000","-6.784254","0.000000","42.893585","56.017876","0.000000","0.880850","0.000000","0.000000","0.000000","84.374046","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4837.210449","1451.246582","4.000000","24.000000","-273.000000","-273.000000","14.800068","0.000000","56.570507","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.200001","12.000000","-0.807488","-0.094961","-2.744262","114.924286","-38.135250","363.000000","2.030000","0.350000","711.000000","40.845042168404","-96.771113565124","363.42"
"37.900","0.064","33.781017","13.347013","1.150931","1078.727539","62437.105469","45593.632813","-0.013717","-1.347887","0.025799","-15.666706","-1.661336","-53.188473","0.000000","6721.915527","178.466721","0.000000","0.000000","0.000000","0.000000","17.590601","0.000000","-5.951253","0.000000","44.361504","56.665348","0.000000","0.884283","0.000000","0.000000","0.000000","84.374046","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4980.006348","1457.244385","4.000000","24.000000","-273.000000","-273.000000","16.306377","0.000000","55.904243","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","44.900002","12.000000","-0.794741","0.012109","-2.784369","114.603432","-37.768555","363.000000","2.030000","0.340000","714.000000","40.845039703944","-96.771099511089","363.40"
"38.000","0.066","33.781017","13.350084","2.488054","1078.727539","61374.757813","46593.269531","0.034921","-0.165773","-0.508533","-19.972460","-0.997059","-50.596062","0.000000","6735.921387","179.123856","0.000000","0.000000","0.000000","0.000000","21.837187","0.000000","-4.986138","0.000000","45.212490","56.576706","0.000000","0.896895","0.000000","0.000000","0.000000","84.374046","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5121.429199","1463.242188","4.000000","24.000000","-273.000000","-273.000000","18.018587","0.000000","55.539768","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.100002","12.000000","-0.687034","0.092412","-2.790099","114.225281","-32.336918","363.000000","2.030000","0.340000","715.000000","40.845037803201","-96.771084986729","363.37"
"38.100","0.067","33.781017","13.355182","1.663495","1079.271240","49406.234375","52655.789063","0.270070","0.223310","0.471855","-17.888369","0.652130","-26.401024","0.000000","6657.036133","179.435379","0.000000","0.000000","0.000000","0.000000","0.526436","0.000000","-6.033105","0.000000","43.712799","52.518444","0.000000","0.922324","0.000000","0.000000","0.000000","84.374046","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5261.936523","1468.490234","4.000000","24.000000","-273.000000","-273.000000","16.630495","0.000000","56.469315","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.199970","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.700001","12.000000","-0.506034","0.130651","-2.772910","113.732536","-23.398773","363.000000","2.030000","0.330000","718.000000","40.845036158900","-96.771070118512","363.33"
"38.200","0.068","33.781017","13.360279","0.950363","1078.727539","47343.371094","56499.500000","0.421302","0.833804","0.277898","-11.646360","-0.956686","11.855298","0.000000","6791.120117","179.600876","0.000000","0.000000","0.000000","0.000000","0.080873","0.000000","-6.835041","0.000000","43.059444","49.206573","0.000000","0.898906","0.000000","0.000000","0.000000","84.686531","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5407.936035","1474.380859","4.000000","24.000000","-273.000000","-273.000000","15.349787","0.000000","56.576775","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.500000","12.000000","-0.270862","0.121091","-2.738533","113.125191","-12.191719","363.000000","2.030000","0.310000","722.000000","40.845034500165","-96.771055038351","363.28"
"38.300","0.070","33.781017","13.365376","0.489798","1078.727539","46499.535156","58187.128906","-0.189333","0.865627","-1.060417","2.799577","0.898124","26.271641","0.000000","6765.168457","180.496521","0.000000","0.000000","0.000000","0.000000","0.099184","0.000000","-7.116722","0.000000","42.575043","48.091484","0.000000","0.866328","0.000000","0.000000","0.000000","84.686531","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5549.816895","1480.378662","4.000000","24.000000","-273.000000","-273.000000","14.611902","0.000000","56.592896","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.799999","12.000000","-0.003186","0.069468","-2.704155","112.391808","-0.090851","363.000000","2.030000","0.310000","720.000000","40.845032544502","-96.771039907275","363.22"
"38.400","0.071","33.781017","13.370474","1.552068","1078.727539","45968.593750","58030.812500","0.242963","0.989045","0.284481","12.147190","0.286426","38.878643","0.000000","6845.289063","181.387299","0.000000","0.000000","0.000000","0.000000","1.608301","0.000000","-7.266986","0.000000","42.861034","33.626141","0.000000","0.866166","0.000000","0.000000","0.000000","84.737404","42.297600","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5634.944824","1483.913086","4.000000","24.000000","-273.000000","-273.000000","14.499594","0.000000","56.592896","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","47.400002","11.000000","0.261940","-0.003824","-2.675507","111.497993","11.574571","363.000000","2.030000","0.310000","704.000000","40.845029843568","-96.771024970728","363.15"
"38.500","0.072","33.781017","13.375570","0.474941","1078.727539","45656.164063","62249.882813","-1.143548","1.050014","0.072240","13.661493","-1.861323","44.146152","0.000000","6846.730957","181.908127","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.580256","0.000000","41.975166","22.881191","0.000000","0.872990","0.000000","0.000000","0.000000","84.749031","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5764.925781","1489.375366","4.000000","24.000000","-273.000000","-273.000000","14.130158","0.000000","56.592896","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","47.200001","11.000000","0.483728","-0.065007","-2.681237","110.523972","21.383608","363.000000","2.030000","0.310000","701.000000","40.845026258683","-96.771010456629","363.09"
"38.600","0.073","33.781017","13.380668","0.170374","1079.271240","45124.757813","62562.019531","0.128825","1.376603","0.089061","15.603908","-3.707213","48.467651","0.000000","6866.503906","182.886520","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.217791","0.000000","41.429543","19.083719","0.000000","0.870756","0.000000","0.000000","0.000000","84.852226","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5909.552246","1495.373047","4.000000","24.000000","-273.000000","-273.000000","13.124310","0.000000","56.686924","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.600002","11.000000","0.641784","-0.102609","-2.727073","109.561401","28.557039","363.000000","2.040000","0.320000","722.000000","40.845021852170","-96.770996401873","363.02"
"38.700","0.075","33.781017","13.385765","0.393228","1078.727539","44781.179688","62749.699219","-0.728892","1.035273","-0.558046","15.590561","-2.033143","52.387886","0.000000","6711.411133","182.915726","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.617101","0.000000","41.172230","15.760285","0.000000","0.861717","0.000000","0.000000","0.000000","84.874023","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6052.806152","1501.370850","4.000000","24.000000","-273.000000","-273.000000","11.589429","0.000000","56.516777","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","46.100002","11.000000","0.719537","-0.112806","-2.807287","108.667587","32.407314","362.000000","2.050000","0.340000","749.000000","40.845016698111","-96.770982820854","362.95"
"38.800","0.076","33.781017","13.390862","0.861221","1078.727539","43968.492188","62187.156250","-0.043548","1.653110","-0.127202","17.717772","-2.720892","51.123295","0.000000","6625.523438","181.567398","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.696684","0.000000","41.152081","11.284509","0.000000","0.853512","0.000000","0.000000","0.000000","85.028084","42.204159","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6192.397949","1507.368652","4.000000","24.000000","-273.000000","-273.000000","11.034783","0.000000","56.396778","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","45.700001","11.000000","0.704879","-0.101334","-2.933338","107.888367","32.453152","362.000000","2.060000","0.340000","750.000000","40.845010928909","-96.770969691605","362.88"
"38.900","0.077","33.781017","13.395960","0.772079","1078.727539","47874.777344","53156.101563","-0.155611","0.395173","0.101348","20.390133","-1.356661","43.562496","0.000000","6569.500488","179.678757","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.720069","0.000000","40.897091","8.534039","0.000000","0.856315","0.000000","0.000000","0.000000","85.061516","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6331.532715","1513.366455","4.000000","24.000000","-273.000000","-273.000000","10.880114","0.000000","56.374390","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","44.900002","10.000000","0.566580","-0.083489","-3.099496","107.384163","26.586063","362.000000","2.060000","0.380000","776.000000","40.845004759617","-96.770956990714","362.81"
"39.000","0.078","33.781017","13.401057","-0.312476","1079.090210","54593.851563","47624.761719","-0.258075","-1.476686","0.324194","16.312294","-4.109535","4.783314","0.000000","6471.048340","178.997299","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.603836","0.000000","40.969944","7.544845","0.000000","0.870167","0.000000","0.000000","0.000000","85.164711","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6468.378418","1519.364136","4.000000","24.000000","-273.000000","-273.000000","10.712636","0.000000","56.220360","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","44.700001","10.000000","0.336507","-0.082214","-3.265654","107.154984","16.020723","362.000000","2.060000","0.380000","781.000000","40.844998700251","-96.770944408248","362.74"
"39.100","0.080","33.781017","13.407042","0.252087","1078.727539","60312.406250","46437.449219","0.587839","-0.771047","0.275704","3.555189","-0.265182","-34.000732","0.000000","6325.430176","178.588409","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.327565","0.000000","41.500069","7.534568","0.000000","0.879002","0.000000","0.000000","0.000000","85.186508","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6602.936035","1524.398071","4.000000","24.000000","-273.000000","-273.000000","10.796375","0.000000","55.820065","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","44.500000","10.000000","0.054173","-0.094961","-3.426082","107.200813","2.636429","362.000000","2.070000","0.390000","797.000000","40.844993024072","-96.770931797893","362.67"
"39.200","0.081","33.781017","13.413027","1.202930","1079.271240","59624.785156","46655.992188","-0.571823","-1.043211","-0.489810","-9.797371","-2.010609","-42.116005","0.000000","6225.536621","175.857666","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.051470","0.000000","41.802334","7.594947","0.000000","0.891168","0.000000","0.000000","0.000000","85.237381","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6734.290039","1530.395752","4.000000","24.000000","-273.000000","-273.000000","10.880114","0.000000","55.397385","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","44.299999","12.000000","-0.243457","-0.111531","-3.563592","107.510208","-11.939617","362.000000","2.080000","0.390000","817.000000","40.844987956946","-96.770919046442","362.59"
"39.300","0.082","33.781017","13.419012","2.488054","1078.727539","60499.769531","46218.406250","0.263456","-1.048381","0.185601","-15.585601","0.223989","-46.413181","0.000000","6353.235840","174.007980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.953737","0.000000","41.433418","9.790442","0.000000","0.893707","0.000000","0.000000","0.000000","85.249008","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","6866.559570","1535.429688","4.000000","24.000000","-273.000000","-273.000000","11.463328","0.000000","55.746632","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.900002","12.000000","-0.516868","-0.117905","-3.672454","108.048790","-25.851034","362.000000","2.080000","0.390000","819.000000","40.844983694205","-96.770906053724","362.52"
"39.400","0.083","33.781017","13.424996","1.262358","1078.727539","60437.472656","46031.222656","-0.575455","-0.416631","0.074361","-17.223103","-1.901696","-49.098007","0.000000","6374.244629","172.508743","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.986023","0.000000","41.729481","13.297581","0.000000","0.867100","0.000000","0.000000","0.000000","85.249008","42.187229","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7000.659180","1541.427368","4.000000","24.000000","-273.000000","-273.000000","11.432789","0.000000","55.897079","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.799999","12.000000","-0.689583","-0.087313","-3.729749","108.782181","-34.674583","362.000000","2.080000","0.370000","862.000000","40.844980587519","-96.770892676126","362.45"
"39.500","0.085","33.781017","13.430981","-0.275334","1078.727539","61468.671875","46187.042969","-0.788944","-1.425356","-0.398390","-18.112177","-1.228969","-54.319309","0.000000","6313.072266","170.814804","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.939600","0.000000","42.002293","15.997949","0.000000","0.855949","0.000000","0.000000","0.000000","85.249008","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7078.922363","1544.961792","4.000000","24.000000","-273.000000","-273.000000","11.416040","0.000000","55.780663","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.600002","12.000000","-0.746305","-0.039514","-3.746938","109.584312","-37.356026","362.000000","2.080000","0.370000","871.000000","40.844978404926","-96.770879007844","362.38"
"39.600","0.086","33.781017","13.436966","0.623510","1078.727539","62218.593750","46093.449219","-0.100098","-1.509630","0.119266","-18.653219","-3.201143","-54.076118","0.000000","6121.935547","169.451874","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.788463","0.000000","41.680653","29.249281","0.000000","0.868989","0.000000","0.000000","0.000000","85.249008","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7197.918945","1549.353027","4.000000","24.000000","-273.000000","-273.000000","10.869277","0.000000","54.796494","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.500000","12.000000","-0.702329","0.005736","-3.741209","110.352081","-34.949604","362.000000","2.090000","0.340000","876.000000","40.844976904891","-96.770865117727","362.30"
"39.700","0.087","33.781017","13.442951","1.552068","1078.727539","56780.847656","48468.578125","-0.221629","-1.374040","0.166732","-21.536041","-1.867895","-53.392754","0.000000","5965.813477","167.675186","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.535229","0.000000","42.489017","40.822842","0.000000","0.864642","0.000000","0.000000","0.000000","85.498993","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7325.611328","1554.601074","4.000000","24.000000","-273.000000","-273.000000","10.796375","0.000000","54.220676","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.400002","12.000000","-0.570404","0.034416","-3.706831","110.993790","-28.211618","362.000000","2.090000","0.310000","884.000000","40.844975864607","-96.770851073379","362.23"
"39.800","0.088","33.781017","13.448936","0.408085","1078.727539","49499.218750","53250.191406","-0.493354","1.080453","-0.310846","-22.366598","1.771307","-30.729816","0.000000","6025.543457","165.986130","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.314981","0.000000","42.718426","41.734955","0.000000","0.868298","0.000000","0.000000","0.000000","85.498993","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7450.558105","1559.634888","4.000000","24.000000","-273.000000","-273.000000","11.242653","0.000000","54.553810","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.500000","12.000000","-0.367098","0.036328","-3.660995","111.452156","-17.898378","362.000000","2.090000","0.300000","880.000000","40.844975018635","-96.770836957215","362.15"
"39.900","0.089","33.781017","13.454920","0.289229","1079.271240","44812.328125","59843.394531","-0.988295","1.033298","-0.420477","-10.878428","0.646497","16.991486","0.000000","6206.793945","165.528564","0.000000","0.000000","0.000000","0.000000","4.998856","0.000000","-6.594024","0.000000","42.825382","46.235138","0.000000","0.867669","0.000000","0.000000","0.000000","85.561493","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7578.250488","1565.418457","4.000000","24.000000","-273.000000","-273.000000","12.634685","0.000000","55.113506","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.399924","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.450001","12.000000","-0.114718","0.008923","-3.609428","111.601128","-5.453735","362.000000","2.090000","0.280000","826.000000","40.844973947142","-96.770822884346","362.06"
"40.000","0.091","33.781017","13.460905","1.188073","1078.727539","45812.378906","60280.984375","0.390952","1.113174","0.463956","7.374312","-1.257606","37.643234","0.000000","6165.600586","165.406876","0.000000","0.000000","0.000000","0.000000","8.926528","0.000000","-5.857534","0.000000","44.470009","46.301945","0.000000","0.858955","0.000000","0.000000","0.000000","85.561493","42.280674","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7709.146484","1570.559448","4.000000","24.000000","-273.000000","-273.000000","13.749887","0.000000","54.733807","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.399924","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.400002","12.000000","0.142760","-0.022943","-3.557862","111.463623","6.990908","361.000000","2.090000","0.280000","816.000000","40.844972248178","-96.770808942070","361.98"
"40.100","0.092","33.781017","13.463256","-0.037623","1078.727539","45812.378906","60031.074219","0.100421","1.229579","0.055931","13.476697","-1.330371","41.597515","0.000000","6090.834961","164.749741","0.000000","0.000000","0.000000","0.000000","8.979935","0.000000","-5.383179","0.000000","44.831947","29.164495","0.000000","0.859504","0.000000","0.000000","0.000000","85.561493","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7835.466309","1575.593262","4.000000","24.000000","-273.000000","-273.000000","14.616828","0.000000","54.836792","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.333336","12.000000","0.377295","-0.044612","-3.506296","111.062553","18.587572","361.000000","2.090000","0.280000","801.000000","40.844969781110","-96.770795194640","361.88"
"40.200","0.093","33.781017","13.465607","0.252087","1078.727539","45562.250000","59218.621094","-0.314755","0.867409","0.162197","18.001127","-3.107252","43.572224","0.000000","6116.580566","164.827621","0.000000","0.000000","0.000000","0.000000","26.996262","0.000000","-3.940392","0.000000","46.776516","18.284657","0.000000","0.877844","0.000000","0.000000","0.000000","85.561493","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","7964.073730","1581.376831","4.000000","24.000000","-273.000000","-273.000000","16.319185","0.000000","53.909935","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.295889","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.266666","11.000000","0.569129","-0.047799","-3.466189","110.466675","28.167427","361.000000","2.090000","0.280000","784.000000","40.844966452006","-96.770781693436","361.78"
"40.300","0.094","33.781017","13.467957","1.381213","1078.727539","48093.757813","58874.625000","-0.218646","1.429849","-0.778332","16.356440","-1.598429","45.916580","0.000000","6392.369629","165.815750","0.000000","0.000000","0.000000","0.000000","30.742352","0.000000","-3.235841","0.000000","47.041576","12.963568","0.000000","0.908107","0.000000","0.000000","0.000000","85.873978","42.374790","-273.000000","-273.000000","6.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","8095.885254","1586.624878","4.000000","24.000000","-273.000000","-273.000000","19.616518","0.000000","54.306648","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.399924","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","43.200001","11.000000","0.700418","-0.026767","-3.426082","109.710365","34.538715","361.000000","2.090000","0.270000","783.000000","40.844962223281","-96.770768477942","361.68"
