"1.000","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","639.319336","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.457601","0.000000","22.228029","1.300082","0.000000","0.311321","0.000000","0.000000","0.000000","41.127480","19.410975","-121.305557","-121.305557","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","59.498283","2.142061","0.888624","10.663768","0.000015","0.000015","1.464934","0.000000","9.774534","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-13.053039","-121.305557","5.331899","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845458421033","-96.771624490139","408.37"
"1.100","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","714.497009","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.511354","0.000000","24.843000","1.454242","0.000000","0.347941","0.000000","0.000000","0.000000","45.965919","21.694897","-135.573120","-135.573120","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","66.363472","2.463371","0.993179","11.918059","0.000015","0.000015","1.637337","0.000000","10.924374","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-14.588296","-135.573120","5.959106","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845459585426","-96.771619667780","407.43"
"1.200","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","789.674744","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.565107","0.000000","27.457972","1.607118","0.000000","0.384581","0.000000","0.000000","0.000000","50.804363","23.978819","-149.844849","-149.844849","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","73.228653","2.677577","1.097734","13.172809","0.000015","0.000015","1.809740","0.000000","12.075109","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-16.124001","-149.844849","6.586313","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845460749819","-96.771614845421","406.50"
"1.300","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","864.852417","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.619035","0.000000","30.073717","1.759993","0.000000","0.421201","0.000000","0.000000","0.000000","55.642803","26.262743","-164.116592","-164.116592","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","80.551521","2.998886","1.202289","14.427558","0.000015","0.000015","1.982143","0.000000","13.224949","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-17.659704","-164.116592","7.213734","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845461914211","-96.771610023062","405.56"
"1.400","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","940.236084","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.672788","0.000000","32.688686","1.912868","0.000000","0.457841","0.000000","0.000000","0.000000","60.481247","28.545988","-178.388321","-178.388321","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","87.416710","3.213092","1.306844","15.681849","0.000015","0.000015","2.155531","0.000000","14.374788","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-19.195408","-178.388321","7.840940","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845463078604","-96.771605200703","404.63"
"1.500","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1015.413757","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.726716","0.000000","35.303661","2.065743","0.000000","0.494461","0.000000","0.000000","0.000000","65.321136","30.829910","-192.655884","-192.655884","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","94.281891","3.427298","1.411307","16.936598","0.000015","0.000015","2.327935","0.000000","15.524629","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-20.730665","-192.655884","8.468361","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845464242997","-96.771600378344","403.70"
"1.600","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1090.591431","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.780469","0.000000","37.918633","2.218619","0.000000","0.531081","0.000000","0.000000","0.000000","70.159584","33.113834","-206.927628","-206.927628","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","101.147079","3.748608","1.515862","18.190891","0.000015","0.000015","2.500338","0.000000","16.675364","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-22.266369","-206.927628","9.095568","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845465407390","-96.771595555985","402.76"
"1.700","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1165.769165","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.834222","0.000000","40.533600","2.371494","0.000000","0.567722","0.000000","0.000000","0.000000","74.998024","35.397079","-221.199356","-221.199356","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","108.469948","3.962814","1.620417","19.445641","0.000015","0.000015","2.672741","0.000000","17.825203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-23.802074","-221.199356","9.722775","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845466571783","-96.771590733627","401.83"
"1.800","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1241.152832","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.888150","0.000000","43.149349","2.525654","0.000000","0.604342","0.000000","0.000000","0.000000","79.836464","37.681004","-235.471085","-235.471085","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","115.335129","4.284123","1.724971","20.700390","0.000015","0.000015","2.845144","0.000000","18.975042","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-25.337778","-235.471085","10.350195","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845467736176","-96.771585911268","400.90"
"1.900","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1316.330444","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.941904","0.000000","45.764320","2.678529","0.000000","0.640962","0.000000","0.000000","0.000000","84.674904","39.964924","-249.738663","-249.738663","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","122.200317","4.498329","1.829526","21.954681","0.000015","0.000015","3.017547","0.000000","20.124884","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-26.873035","-249.738663","10.977402","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845468900568","-96.771581088909","399.96"
